column,dtype_raw,role,n_non_null,n_missing,missing_pct,n_unique,top_value,top_value_share,numeric_ratio,is_near_constant,is_constant,example_values,dict_en_alias,dict_category
Somnolence ou léthargie  (Drowsiness or lethargy),str,binary,299,1,0.33,2,NON,0.7525,0.0,False,False,NON | OUI,Drowsiness or lethargy,Symptom
Vertige (Dizzy),str,binary,299,1,0.33,2,NON,0.7291,0.0,False,False,NON | OUI,,
Inflammation de conjonctivite,str,constant,299,1,0.33,1,NON,1.0,0.0,False,True,NON,,
Douleur abdominale (stomac pain),str,binary,299,1,0.33,2,OUI,0.6923,0.0,False,False,OUI | NON,Abdominal pain,Symptom
Distension abdominale (Ventre gonflé) (Abdominal Distension (Swelling Stomach)/ Ascites),str,binary,297,3,1.0,2,NON,0.9731,0.0,False,False,NON | OUI,Abdominal pain,Symptom
Mal de gorge (throat pain),str,binary,299,1,0.33,2,NON,0.99,0.0,False,False,NON | OUI,,
Toux (Cough),str,binary,299,1,0.33,2,NON,0.8328,0.0,False,False,NON | OUI,Cough,Symptom
Diarrhée  (Diarrhea),str,binary,298,2,0.67,2,NON,0.9195,0.0,False,False,NON | OUI,Diarrhea,Symptom
Douleur rétro-orbitrale (Retro-orbital pain),str,binary,299,1,0.33,2,NON,0.9699,0.0,False,False,NON | OUI,Retro-orbital pain,Symptom
Céphalée (Headache),str,binary,299,1,0.33,2,NON,0.5485,0.0,False,False,NON | OUI,,
Sensation de frissons ou de froid (Shiver or cold sensation),str,binary,299,1,0.33,2,OUI,0.5351,0.0,False,False,NON | OUI,Shiver or cold sensation,Symptom
Mictions fréquentes.(Frequent Urination),str,binary,299,1,0.33,2,NON,0.9866,0.0,False,False,NON | OUI,,
Constipation,str,binary,299,1,0.33,2,NON,0.9933,0.0,True,False,NON | OUI,,
Oligurie (Oliguria),str,binary,298,2,0.67,2,NON,0.7349,0.0,False,False,NON | OUI,Oliguria,Symptom
Mictions fréquentes. (Frequent Urination),str,binary,298,2,0.67,2,NON,0.9899,0.0,False,False,NON | OUI,,
Prostration,str,binary,298,2,0.67,2,OUI,0.7718,0.0,False,False,OUI | NON,,
Ictère (Icterus),str,binary,299,1,0.33,2,NON,0.9732,0.0,False,False,NON | OUI,Icterus,Symptom
Epistaxis ((Bleeding nose),str,binary,299,1,0.33,2,NON,0.9933,0.0,True,False,NON | OUI,,
Convulsions généralisées ou focales (Generalised or focal convulsion),str,binary,298,2,0.67,2,NON,0.8926,0.0,False,False,NON | OUI,Generalised or focal convulsion,Symptom
Convulsions multiples (Multiple convulsions),str,binary,298,2,0.67,2,NON,0.8993,0.0,False,False,NON | OUI,Multiple convulsions,Symptom
Délire,str,binary,296,4,1.33,2,NON,0.9831,0.0,False,False,NON | OUI,,
Confusion/ niveau de conscience altéré (impaired level of consciousness),str,binary,297,3,1.0,2,NON,0.9933,0.0,True,False,NON | OUI,Consciousness trouble,Symptom
Rougeur faciale (Facial flushing),str,constant,299,1,0.33,1,NON,1.0,0.0,False,True,NON,,
Gonflement du visage (Facial Swelling),str,binary,298,2,0.67,2,NON,0.9866,0.0,False,False,NON | OUI,Joint Swelling,Symptom
Sudation excessive (Profuse sweating),str,constant,299,1,0.33,1,NON,1.0,0.0,False,True,NON,Profuse sweating,Symptom
Délire /Discours irrationnel (Delirium/ Irrational Talking),str,binary,298,2,0.67,2,NON,0.9966,0.0,True,False,NON | OUI,Delirium,Symptom
Hémoglobinurie (Hemoglobinuria),str,binary,299,1,0.33,2,NON,0.9632,0.0,False,False,NON | OUI,Hemoglobinuria,Symptom
Goût amer dans la gorge (Bitter taste in your Throat),str,binary,299,1,0.33,2,NON,0.9933,0.0,True,False,NON | OUI,,
Test de garrot positif (Positive tourniquet test),str,binary,297,3,1.0,2,NON,0.6902,0.0,False,False,NON | OUI,Positive tourniquet test,Symptom
Raideur (Stiffness),str,binary,299,1,0.33,2,NON,0.9833,0.0,False,False,NON | OUI,Stiffness,Symptom
Détresse respiratoire (Respiratory distress),str,binary,299,1,0.33,2,NON,0.8763,0.0,False,False,NON | OUI,Respiratory distress,Symptom
Choc septique (Shock),str,binary,299,1,0.33,2,NON,0.99,0.0,False,False,NON | OUI,Shock,Symptom
Hépatomégalie (Hepatomegaly),str,binary,298,2,0.67,2,NON,0.7617,0.0,False,False,NON | OUI,,
Insuffisance cardiaque  ou Myocardite(Heart failure or Myocarditis),str,binary,299,1,0.33,2,NON,0.9933,0.0,True,False,NON | OUI,Myocarditis,Symptom
Accumulation de liquide et détresse respiratoire (Accumulation of fluid and respiratory distress),str,binary,298,2,0.67,2,NON,0.9933,0.0,True,False,NON | OUI,Accumulation of fluid and respiratory distress,Symptom
Splénomégalie modérée,str,binary,298,2,0.67,2,NON,0.7416,0.0,False,False,NON | OUI,Moderate splenomegaly,Symptom
Choc septique (Septicemia),str,binary,300,0,0.0,2,NON,0.9933,0.0,True,False,NON | OUI,Septicemia,Symptom
Syndrome d'icterus subaigu (Sub-icterus),str,binary,299,1,0.33,2,NON,0.99,0.0,False,False,NON | OUI,Sub-icterus,Symptom
Lymphadénopathie / Lymphadenopa thy,str,binary,298,2,0.67,2,NON,0.9933,0.0,True,False,NON | OUI,,
Température axillaire (médiane IQR) (°C) /Axillary temperature (median IQR) (°C),str,numeric,263,37,12.33,77,38,0.0837,0.996,False,False,T3501 | 3904 | 39 | 40 | 39.8,Temperature,Symptom
Fréquence respiratoire (médiane IQR) / Respiratory rate (median breaths/min IQR),str,numeric,212,88,29.33,32,28,0.1887,1.0,False,False,26 | 28 | 22 | 32 | 36,Respiratory distress,Symptom
Fréquence du pouls (battements/m in ± SD)./ Pulse rate (mean beats/min ± SD) - Shock ou Myocarditis,str,numeric,263,37,12.33,102,88,0.0418,1.0,False,False,131 | 38 | 100 | 88 | 130,,
Pression artérielle (moyenne mmHg ± SD). / Arterial blood pressure (mean mmHg ± SD),str,numeric,129,171,57.0,121,136/78,0.0155,1.0,False,False,10976 | 77/61 | 104|58 | 120/90 | 120/80,,
Temps de remplissage capillaire (médiane secs IQR). / Capillary refill time (median secs IQR),str,numeric,91,209,69.67,4,2,0.967,1.0,False,False,2 | 29 | 385 | 3,,
Test TDR,str,binary,271,29,9.67,2,Positif,0.7823,0.0,False,False,Positif | Négatif,,
Goutte épaisse,str,binary,270,30,10.0,2,Positif,0.7926,0.0,False,False,Positif | Négatif,,
Hémoconcentration,str,binary,294,6,2.0,2,NON,0.7245,0.0,False,False,NON | OUI,,
Pâleur cutanéo muqueuse ou Anémie (Mucosal skin pallor or Anemia),str,binary,295,5,1.67,2,NON,0.539,0.0,False,False,NON | OUI,Anemia,Symptom
Hypoglycémie (Hypoglycemia),str,binary,289,11,3.67,2,NON,0.955,0.0,False,False,NON | OUI,Hypoglycemia,Symptom
Hematocrite (Hematrocrit),str,numeric,195,105,35.0,175,33,0.0154,1.0,False,False,"4,59 | 5,42 | 4.58 | 5.33 | 4,88",,
Transaminases (Transaminases),str,binary,287,13,4.33,2,NON,0.9268,0.0,False,False,NON | OUI,,
Thrombocytopénie(Thrombocytopenia),str,binary,288,12,4.0,2,NON,0.8299,0.0,False,False,NON | OUI,,
Lymphocytopénie (Lymphocytopenia),str,binary,292,8,2.67,2,NON,0.9623,0.0,False,False,NON | OUI,,
Lymphocytes,str,numeric,147,153,51.0,131,1980,0.0136,1.0,False,False,"7,82 | 7,48 | 11.41 | 5.83 | 11.83",,
Neutropénie (Neutropenia),str,binary,290,10,3.33,2,NON,0.969,0.0,False,False,NON | OUI,,
Nombre de globules blancs (cellules/ML) / White blood cell count / WBC count (cells/ML),str,numeric,246,54,18.0,234,14.10,0.0081,1.0,False,False,"3,84 | 15.13 | 24.05 | 14.10 | 5,38",White blood cell count,Laboratory Variable
Numération plaquettaire Platelet count,str,numeric,250,50,16.67,198,178,0.036,1.0,False,False,195 | 235 | 386 | 12 | 95,Platelet count,Laboratory Variable
Neutrophiles / Neutrophils,str,numeric,219,81,27.0,159,1.20,0.0776,1.0,False,False,"11,10 | 1,81 | 4.00 | 4.38 | 3.58",Neutrophils,Laboratory Variable
CRP>50 /CRP 10-50,str,binary,279,21,7.0,2,NON,0.957,0.0,False,False,NON | OUI,,
Créatinine élevée / Elevated Creatinine,str,numeric,218,82,27.33,99,92,0.0459,1.0,False,False,107 | 55 | 88 | 100 | 127,,
ALAT / ASAT élevés. / Elevated ALAT / Elevated ASAT,str,binary,282,18,6.0,2,NON,0.9007,0.0,False,False,NON | OUI,,
Diabète,str,binary,297,3,1.0,2,NON,0.9663,0.0,False,False,NON | OUI,,
Hypertension artérielle,str,binary,297,3,1.0,2,NON,0.9428,0.0,False,False,NON | OUI,,
Drépanocytose,str,binary,296,4,1.33,2,NON,0.9831,0.0,False,False,NON | OUI,,
Maladie rhumatismale,str,constant,297,3,1.0,1,NON,1.0,0.0,False,True,NON,,
Maladie auto immune,str,constant,297,3,1.0,1,NON,1.0,0.0,False,True,NON,,
Arthrose,str,binary,297,3,1.0,2,NON,0.9899,0.0,False,False,NON | OUI,,
Allergies,str,constant,297,3,1.0,1,NON,1.0,0.0,False,True,NON,,
Cancer,str,constant,297,3,1.0,1,NON,1.0,0.0,False,True,NON,,
Asthme (Astma),str,binary,297,3,1.0,2,NON,0.9933,0.0,True,False,NON | OUI,,
Carences en leucocytes (Leucopenia),str,constant,298,2,0.67,1,NON,1.0,0.0,False,True,NON,,
Pneumonie (Pneumonia),str,binary,297,3,1.0,2,NON,0.9394,0.0,False,False,NON | OUI,,
Dengue dans le menage (Household Dengue),str,binary,298,2,0.67,2,NON,0.9933,0.0,True,False,NON | OUI,Household Dengue,Medical History
Dengue (Dengua),str,binary,293,7,2.33,2,NON,0.8225,0.0,False,False,OUI | NON,Dengue,Medical History
Maladies diagnostiquées,str,categorical,299,1,0.33,15,Paludisme (Malaria),0.398,0.0,False,False,Paludisme (Malaria) Dengue | Paludisme (Malaria) Fièvre Typhoïde (Thyphoid fever) | Paludisme (Malaria) | Paludisme (Malaria) Autres maladies diagnostiqué (Others diseases) | Paludisme (Malaria) Fièvre jaune (yellow fever),,
Maladies diagnostiquées/Paludisme (Malaria),str,binary,299,1,0.33,2,1,0.903,1.0,False,False,1 | 0,,
Maladies diagnostiquées/Dengue,str,binary,299,1,0.33,2,0,0.8127,1.0,False,False,1 | 0,,
Maladies diagnostiquées/Chikunguya,str,constant,299,1,0.33,1,0,1.0,1.0,False,True,0,,
Maladies diagnostiquées/Fièvre jaune (yellow fever),str,binary,299,1,0.33,2,0,0.9599,1.0,False,False,0 | 1,Fever in the last 7 days,Symptom
Maladies diagnostiquées/Fièvre Typhoïde (Thyphoid fever),str,binary,299,1,0.33,2,0,0.903,1.0,False,False,0 | 1,Fever in the last 7 days,Symptom
Maladies diagnostiquées/Zika,str,constant,299,1,0.33,1,0,1.0,1.0,False,True,0,,
Maladies diagnostiquées/Autres maladies diagnostiqué (Others diseases),str,binary,299,1,0.33,2,0,0.6689,1.0,False,False,0 | 1,,
Maladies diagnostiquées/Option 8,str,constant,299,1,0.33,1,0,1.0,1.0,False,True,0,,
Autres maladies présentées par le patient,str,text_high_cardinality,94,206,68.67,81,Pneumonie,0.0426,0.0,False,False,Bronchite Aigue | Gastro Entente Aigue Febrile | sepsio | Pneumonie | Épilepsie,,
_uuid,str,id,300,0,0.0,300,df22d899-23a3-4c49-8059-6208c130f57d,0.0033,0.617,False,False,df22d899-23a3-4c49-8059-6208c130f57d | 4a7ef2f3-4ff0-4215-8cb5-20ba8c8d4355 | 104f6bc8-f39a-482b-b680-7ac1f8cccc86 | 26d7d04a-1a1c-4d4b-b64a-606f968e6d9c | eb694f52-51ff-488d-9beb-2923a572a4cf,,
